Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN1001_c0_g1_i10	19.56480587	-7.791478158	2.27259055	-3.428456638	0.000607023	0.017562212
TRINITY_DN10025_c0_g1_i2	16.51323103	-7.546793506	2.369465196	-3.185019776	0.001447441	0.031324667
TRINITY_DN10025_c0_g1_i7	15.95989007	-7.497726621	2.407271942	-3.114615548	0.001841848	0.037482446
TRINITY_DN1005_c0_g1_i74	14.86568797	-7.394261049	2.387572278	-3.096978935	0.001955038	0.039041943
TRINITY_DN10065_c0_g1_i11	27.49305247	-8.28251372	2.217450102	-3.735152243	0.000187602	0.007629238
TRINITY_DN10072_c0_g1_i2	29.57450146	-8.386322995	1.985209889	-4.224401179	2.40E-05	0.001646862
TRINITY_DN100883_c0_g1_i1	34.28181892	-8.600361211	1.963191271	-4.380806565	1.18E-05	0.000974481
TRINITY_DN101_c0_g1_i1	14.79545029	-7.388006119	2.414107421	-3.060346883	0.002210808	0.04246236
TRINITY_DN10124_c0_g1_i2	26.36997143	-8.221983283	2.097565586	-3.919774112	8.86E-05	0.004362861
TRINITY_DN101360_c1_g1_i1	30.21447922	-8.417751754	1.983673009	-4.243517817	2.20E-05	0.001544261
TRINITY_DN101381_c0_g1_i1	118.074452	-10.38436302	1.669715162	-6.219242218	5.00E-10	4.46E-07
TRINITY_DN102_c0_g1_i22	14.18435146	-7.326451762	2.421052122	-3.026143756	0.002476945	0.046161762
TRINITY_DN10230_c0_g1_i20	16.67513267	7.497426867	2.353753996	3.18530606	0.00144601	0.031324667
TRINITY_DN1028_c0_g1_i9	17.80174707	-7.653232174	2.29676374	-3.33218086	0.000861682	0.022116514
TRINITY_DN10302_c1_g1_i2	20.33705944	-7.84669219	2.190006619	-3.582953641	0.000339731	0.011754373
TRINITY_DN10334_c0_g1_i1	34.43496084	8.543703469	2.609967592	3.273490252	0.001062281	0.025860057
TRINITY_DN10338_c1_g2_i6	15.26215445	-7.43151242	2.378094331	-3.12498639	0.001778133	0.036396898
TRINITY_DN10348_c0_g1_i15	18.55724057	-7.715263293	2.314524015	-3.333412504	0.000857876	0.022067716
TRINITY_DN10364_c0_g1_i6	37.32421142	-7.288164284	1.878861798	-3.879031599	0.000104873	0.004897336
TRINITY_DN1038_c9_g1_i9	24.27205014	8.038816576	2.187012775	3.675706273	0.000237192	0.009004876
TRINITY_DN10407_c0_g1_i4	115.5223796	-10.35291929	1.703266305	-6.078273995	1.21E-09	8.06E-07
TRINITY_DN10415_c0_g1_i1	22.04236037	-7.963748719	2.283805436	-3.487052178	0.000488376	0.015013167
TRINITY_DN10419_c0_g1_i1	24.18548653	-8.09756992	2.228114894	-3.634269463	0.000278769	0.010235295
TRINITY_DN104431_c0_g1_i1	152.298874	-10.75119832	1.596212647	-6.735442385	1.63E-11	2.51E-08
TRINITY_DN104441_c0_g1_i1	31.91158059	-8.49697462	1.988736653	-4.272548911	1.93E-05	0.001411182
TRINITY_DN104720_c0_g1_i1	25.91574709	-8.196898701	2.102970798	-3.897771053	9.71E-05	0.004675742
TRINITY_DN104787_c0_g1_i1	15.42722849	-7.448486139	2.397012357	-3.107404147	0.001887382	0.03799088
TRINITY_DN104797_c0_g1_i1	35.03767337	-8.630727457	1.917001652	-4.502201365	6.73E-06	0.000660776
TRINITY_DN10518_c2_g1_i1	26.63844236	-8.236155409	2.048731402	-4.020124551	5.82E-05	0.00314706
TRINITY_DN10530_c0_g1_i2	27.24954118	-8.269193536	2.065133326	-4.004193547	6.22E-05	0.003315707
TRINITY_DN10564_c0_g1_i1	29.54134227	-8.385599966	2.018163984	-4.155063728	3.25E-05	0.002058714
TRINITY_DN10564_c0_g1_i12	42.01133611	8.831544485	1.84661051	4.782570248	1.73E-06	0.00023749
TRINITY_DN105895_c0_g1_i1	40.24877348	-8.831622766	1.881260497	-4.694524112	2.67E-06	0.000323822
TRINITY_DN1059_c0_g1_i32	18.19393329	-7.685946604	2.254713601	-3.408834985	0.000652409	0.018419689
