Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN1_c0_g1_i3	1527.9064	-0.930756606	0.159698361	-5.828216379	5.6e-09	1.4e-06	sp	Q08473	SQD_DROME	66.5	221	68	2	1803	1141	8	222	2.4e-76	288.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10098_c0_g1_i2	427.537748	-0.9505347	0.243773422	-3.899254857	9.65e-05	0.00458247	sp	Q5RBM1	RPN2_PONAB	41.5	287	165	3	8	865	344	628	1.2e-57	225.3	RPN2_PONAB	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2)	RPN2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	631	protein N-linked glycosylation [GO:0006487]	integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]		integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]; protein N-linked glycosylation [GO:0006487]	GO:0006487; GO:0008250; GO:0016021
TRINITY_DN1016_c0_g1_i1	157.8116562	-2.180820042	0.425665389	-5.123320091	3e-07	3.67e-05	sp	Q5E9S2	NFYA_BOVIN	76.1	92	21	1	412	684	226	317	4.8e-30	133.7	NFYA_BOVIN	reviewed	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	NFYA	Bos taurus (Bovine)	341	positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; rhythmic process [GO:0048511]; transcription, DNA-templated [GO:0006351]	CCAAT-binding factor complex [GO:0016602]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]	core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	CCAAT-binding factor complex [GO:0016602]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; rhythmic process [GO:0048511]; transcription, DNA-templated [GO:0006351]	GO:0001046; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006351; GO:0006355; GO:0016602; GO:0032993; GO:0045893; GO:0048511
TRINITY_DN1020_c0_g1_i1	588.744287	1.374196412	0.381527257	3.601830245	0.000315985	0.009601251	sp	O14795	UN13B_HUMAN	67.5	1237	364	10	334	3969	362	1585	0	1641.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10318_c0_g1_i1	1579.369749	-0.560590357	0.166280973	-3.371343975	0.000748024	0.017622738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1050_c0_g1_i1	44107.52772	-0.486880976	0.162571027	-2.994881586	0.002745514	0.042490214	sp	Q2HJ57	COTL1_BOVIN	45.9	135	73	0	1196	792	3	137	7e-30	133.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1052_c2_g2_i1	442.5866713	-3.068472479	0.521495088	-5.883991139	4e-09	1.06e-06	sp	P06708	TNNC2_ASTLP	87.3	150	19	0	569	120	1	150	1.9e-68	260.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1060_c0_g1_i2	656.1939769	0.776804956	0.244260376	3.180233188	0.001471566	0.027518281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10610_c0_g1_i1	207.8915401	1.132254567	0.329894825	3.43216832	0.000598776	0.015110862	sp	Q6DCX5	PCFT_XENLA	25	440	292	11	1421	156	24	443	1e-11	73.2	PCFT_XENLA	reviewed	Proton-coupled folate transporter (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1)	slc46a1 hcp1 pcft	Xenopus laevis (African clawed frog)	463	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]	folic acid binding [GO:0005542]	integral component of membrane [GO:0016021]; folic acid binding [GO:0005542]; transmembrane transport [GO:0055085]	GO:0005542; GO:0016021; GO:0055085
TRINITY_DN10672_c0_g1_i1	193.3454688	1.402044952	0.329764892	4.251650141	2.12e-05	0.001322721	sp	Q9VVY3	GBS76_DROME	41.8	311	148	7	431	1330	393	681	2.8e-50	201.1	GBS76_DROME	reviewed	Glycogen-binding subunit 76A (CBM21 domain-containing protein CG9619)	Gbs-76A CG9619	Drosophila melanogaster (Fruit fly)	681			protein phosphatase 1 binding [GO:0008157]	protein phosphatase 1 binding [GO:0008157]	GO:0008157
TRINITY_DN107_c0_g1_i9	717.679485	0.963877728	0.31096593	3.099624861	0.001937659	0.03358915	sp	Q9VF87	CYFIP_DROME	75.6	1285	307	5	4175	336	3	1286	0	1991.1	CYFIP_DROME	reviewed	Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1) (DSra-1)	Sra-1 Cyfip CG4931	Drosophila melanogaster (Fruit fly)	1291	axon guidance [GO:0007411]; cell adhesion mediated by integrin [GO:0033627]; cell morphogenesis [GO:0000902]; cell projection assembly [GO:0030031]; chaeta development [GO:0022416]; compound eye morphogenesis [GO:0001745]; cortical actin cytoskeleton organization [GO:0030866]; phagocytosis [GO:0006909]; regulation of cell shape [GO:0008360]; regulation of synapse organization [GO:0050807]	apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; SCAR complex [GO:0031209]; synapse [GO:0045202]		apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; SCAR complex [GO:0031209]; synapse [GO:0045202]; axon guidance [GO:0007411]; cell adhesion mediated by integrin [GO:0033627]; cell morphogenesis [GO:0000902]; cell projection assembly [GO:0030031]; chaeta development [GO:0022416]; compound eye morphogenesis [GO:0001745]; cortical actin cytoskeleton organization [GO:0030866]; phagocytosis [GO:0006909]; regulation of cell shape [GO:0008360]; regulation of synapse organization [GO:0050807]	GO:0000902; GO:0001745; GO:0005737; GO:0006909; GO:0007411; GO:0008360; GO:0022416; GO:0030031; GO:0030866; GO:0031209; GO:0033627; GO:0045177; GO:0045202; GO:0050807
TRINITY_DN1076_c0_g1_i4	280.95763	1.546147829	0.424440981	3.64278639	0.000269703	0.008676885	sp	O96790	DPGN_DIPMA	32.6	341	193	8	79	1047	24	345	4e-44	180.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1082_c0_g1_i2	1387.843384	-0.693441142	0.163692625	-4.236239357	2.27e-05	0.001402196	sp	P82912	RT11_HUMAN	39.6	187	104	2	818	258	17	194	2.8e-28	127.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1090_c3_g1_i1	9135.613473	-1.03511966	0.266487245	-3.88431221	0.00010262	0.004835259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1100_c1_g1_i1	178.2678428	-1.210123831	0.372387939	-3.249632185	0.001155544	0.023203936	sp	Q2HXL6	EDEM3_MOUSE	55.3	769	323	6	175	2433	29	792	3e-244	846.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
