Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN12600_c0_g1_i2	0	0	108	109	48.25266569	8.918858667	2.137605805	4.17235893	3.01e-05	0.009465915	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12397_c1_g1_i1	67	148	0	0	58.71905476	-9.373272655	2.035204843	-4.605567193	4.11e-06	0.002472057	2	sp	Q6PDL0	DC1L2_MOUSE	48.5	482	228	8	1537	110	10	477	1e-112	408.7	DC1L2_MOUSE	reviewed	Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic)	Dync1li2 Dncli2 Dnclic2	Mus musculus (Mouse)	492	centrosome localization [GO:0051642]; microtubule-based movement [GO:0007018]; microtubule cytoskeleton organization [GO:0000226]; transport [GO:0006810]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; membrane [GO:0016020]; microtubule [GO:0005874]	ATP binding [GO:0005524]; dynein heavy chain binding [GO:0045504]; microtubule motor activity [GO:0003777]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; membrane [GO:0016020]; microtubule [GO:0005874]; ATP binding [GO:0005524]; dynein heavy chain binding [GO:0045504]; microtubule motor activity [GO:0003777]; centrosome localization [GO:0051642]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based movement [GO:0007018]; transport [GO:0006810]	GO:0000226; GO:0003777; GO:0005524; GO:0005737; GO:0005813; GO:0005868; GO:0005874; GO:0006810; GO:0007018; GO:0016020; GO:0045504; GO:0051642
TRINITY_DN428_c0_g1_i6	371	761	2054	2161	1246.630275	1.699912973	0.404230338	4.205307755	2.61e-05	0.00850171	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10286_c0_g1_i1	17	39	221	397	153.5456718	3.234432835	0.864498325	3.741398614	0.000182999	0.032322199	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4702_c0_g1_i2	0	0	212	164	83.37099864	9.700601784	1.88167167	5.155310535	2.53e-07	0.000330265	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1091_c0_g1_i16	182	50	0	0	62.10922427	-9.323207619	2.011217923	-4.635602891	3.56e-06	0.002270095	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN32526_c0_g1_i15	0	0	48	223	61.08932032	8.878151601	2.021081893	4.392771828	1.12e-05	0.004413078	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN30357_c0_g2_i2	0	0	81	81	36.01916514	8.497165274	2.323461251	3.657115121	0.00025507	0.039317857	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5929_c1_g1_i14	461	480	18	30	265.8121926	-4.617082347	0.700532535	-6.590817866	4.37e-11	1.85e-07	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1566_c1_g1_i12	0	0	77	103	40.14535737	8.63535277	2.250316696	3.837394437	0.000124347	0.024987426	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5253_c0_g1_i1	9	0	218	227	101.3717386	6.173906087	1.350160433	4.57272035	4.81e-06	0.00263328	1	sp	P58374	RL30_BRABE	70.6	102	30	0	26	331	2	103	2.6e-36	153.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3844_c0_g1_i29	0	101	279	416	183.1240991	4.757165892	1.276750392	3.725995247	0.000194546	0.033320436	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1308_c4_g1_i22	69	4	205	613	203.230389	3.935721691	1.065757343	3.692887237	0.000221722	0.036149272	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN23694_c0_g1_i6	160	102	0	0	70.66056502	-9.727168306	1.948721463	-4.991564209	5.99e-07	0.000677022	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN23_c1_g1_i10	0	22	194	213	96.67000571	5.374216962	1.443638129	3.722689817	0.000197112	0.033422246	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2906_c0_g1_i15	0	0	140	103	53.85219684	9.06640808	2.077463779	4.364171434	1.28e-05	0.004917451	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN6902_c0_g1_i18	0	0	55	119	38.99263673	8.50547724	2.270789472	3.745603609	0.000179961	0.032322199	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN98711_c0_g1_i1	658	329	2020	1509	1047.761216	1.620982542	0.408235455	3.970704954	7.17e-05	0.018709184	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9515_c0_g1_i5	247	35	6	2	76.96012623	-5.104119148	1.322345268	-3.859898976	0.000113434	0.024042317	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN276_c0_g1_i3	0	0	255	242	110.4412098	10.11395554	1.787407982	5.658448236	1.53e-08	3.7e-05	1	sp	Q9XSC3	WDR44_BOVIN	54.2	611	229	7	1697	3493	338	909	3.4e-183	644	WDR44_BOVIN	reviewed	WD repeat-containing protein 44 (Rab11-binding protein) (Rabphilin-11)	WDR44 RAB11BP	Bos taurus (Bovine)	912		cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]		cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]	GO:0005794; GO:0005829; GO:0010008; GO:0048471
TRINITY_DN23_c2_g1_i9	159	234	839	909	495.9010711	1.892500156	0.520349926	3.636975932	0.000275858	0.041762885	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
