Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN15857_c0_g1_i1	0	33	0	58	22.33148581	7.951574233	2.305304572	3.449251057	0.000562144	0.048731621	1	sp	Q9DCA5	BRX1_MOUSE	50.7	215	96	3	704	63	75	280	3.9e-56	219.5	BRX1_MOUSE	reviewed	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	Brix1 Brix Bxdc2	Mus musculus (Mouse)	353	ribosomal large subunit assembly [GO:0000027]	nucleolus [GO:0005730]; nucleus [GO:0005634]	RNA binding [GO:0003723]	nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; ribosomal large subunit assembly [GO:0000027]	GO:0000027; GO:0003723; GO:0005634; GO:0005730
TRINITY_DN2313_c0_g2_i6	1475	483	237	83	613.7156767	-1.514844803	0.359360321	-4.215392503	2.49e-05	0.004631864	2	sp	A2V735	TPM_CHIOP	76	325	37	1	2457	1483	1	284	4.6e-99	364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2313_c0_g2_i6	1475	483	237	83	613.7156767	-1.514844803	0.359360321	-4.215392503	2.49e-05	0.004631864	2	sp	A2V735	TPM_CHIOP	85.2	27	4	0	497	417	258	284	3.9e-05	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1328_c1_g1_i5	90	0	97	7	47.1549891	-5.522415721	1.521556727	-3.629451089	0.000284025	0.029157361	3	sp	Q9CWK3	CD2B2_MOUSE	38.3	345	184	10	1219	215	17	342	5.3e-46	186.8	CD2B2_MOUSE	reviewed	CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2)	Cd2bp2	Mus musculus (Mouse)	342	mRNA processing [GO:0006397]; negative regulation of phosphatase activity [GO:0010923]; RNA splicing [GO:0008380]	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U5 snRNP [GO:0005682]	ribonucleoprotein complex binding [GO:0043021]	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U5 snRNP [GO:0005682]; ribonucleoprotein complex binding [GO:0043021]; mRNA processing [GO:0006397]; negative regulation of phosphatase activity [GO:0010923]; RNA splicing [GO:0008380]	GO:0001650; GO:0005634; GO:0005654; GO:0005682; GO:0005829; GO:0006397; GO:0008380; GO:0010923; GO:0016607; GO:0043021
TRINITY_DN22579_c0_g1_i1	0	133	0	192	80.62509677	9.81485392	1.728046019	5.679741057	1.35e-08	3.51e-05	1	sp	Q54QR2	PSB7_DICDI	56.7	180	78	0	3	542	66	245	1.6e-55	217.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13927_c0_g1_i1	0	35	0	55	22.22179235	7.953523343	2.30819307	3.445779058	0.000569416	0.048927876	1	sp	Q96T60	PNKP_HUMAN	37.4	187	104	6	536	3	192	374	4e-21	102.8	PNKP_HUMAN	reviewed	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]	PNKP	Homo sapiens (Human)	521	dephosphorylation [GO:0016311]; DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA damage response, detection of DNA damage [GO:0042769]; DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; nucleotide-excision repair, DNA damage removal [GO:0000718]; nucleotide phosphorylation [GO:0046939]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; response to oxidative stress [GO:0006979]; response to radiation [GO:0009314]	membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; damaged DNA binding [GO:0003684]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; nucleotide kinase activity [GO:0019201]; polynucleotide 3'-phosphatase activity [GO:0046403]; purine nucleotide binding [GO:0017076]	membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; damaged DNA binding [GO:0003684]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; nucleotide kinase activity [GO:0019201]; polynucleotide 3'-phosphatase activity [GO:0046403]; purine nucleotide binding [GO:0017076]; dephosphorylation [GO:0016311]; DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; DNA-dependent DNA replication [GO:0006261]; nucleotide phosphorylation [GO:0046939]; nucleotide-excision repair, DNA damage removal [GO:0000718]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; response to oxidative stress [GO:0006979]; response to radiation [GO:0009314]	GO:0000718; GO:0003684; GO:0003690; GO:0004519; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005739; GO:0006261; GO:0006281; GO:0006979; GO:0009314; GO:0016020; GO:0016311; GO:0017076; GO:0019201; GO:0032212; GO:0042769; GO:0046403; GO:0046404; GO:0046939; GO:0051973; GO:0098504; GO:1904355
TRINITY_DN11067_c0_g1_i1	0	32	0	90	29.23576088	8.25672874	2.137681099	3.862469824	0.000112246	0.014718432	1	sp	Q32KY6	DCTP1_BOVIN	47	83	40	1	80	316	6	88	3.8e-14	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN28367_c0_g1_i1	0	67	0	110	43.59755349	8.920442483	1.933702765	4.613140471	3.97e-06	0.001167739	1	sp	Q54N38	UCHL5_DICDI	49.4	162	78	2	28	510	7	165	1.7e-37	157.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2742_c2_g1_i2	0	2488	0	5445	1924.433277	14.36244231	4.000901956	3.589801118	0.00033093	0.032273983	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN276_c0_g1_i4	175	0	198	7	92.20583619	-6.30999985	1.246598338	-5.061774638	4.15e-07	0.000223499	3	sp	Q9XSC3	WDR44_BOVIN	56.4	585	230	6	1697	3415	338	909	6.5e-187	656.4	WDR44_BOVIN	reviewed	WD repeat-containing protein 44 (Rab11-binding protein) (Rabphilin-11)	WDR44 RAB11BP	Bos taurus (Bovine)	912		cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]		cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]	GO:0005794; GO:0005829; GO:0010008; GO:0048471
